run,model,test_days,pred,acc,test_n,test_pos_n,test_neg_n,test_pos_frac,test_neg_frac,train_n,train_start,train_end,test_start,test_end,train_years,n_features,pi_size,min_feats,feature_set,horizon
1,xgboost-2,1,0.6,0.0,1,0,1,0.0,1.0,1225,2021-03-01,2026-01-13,2026-01-16,2026-01-16,5,6,0.33,6,baseline,2
1,xgboost-2,1,0.15,1.0,1,0,1,0.0,1.0,1225,2021-03-01,2026-01-13,2026-01-16,2026-01-16,5,8,0.33,8,baseline,2
1,xgboost-2,1,0.05,1.0,1,0,1,0.0,1.0,1225,2021-03-01,2026-01-13,2026-01-16,2026-01-16,5,12,0.33,12,baseline,2
1,xgboost-2,1,0.9,0.0,1,0,1,0.0,1.0,1225,2021-03-01,2026-01-13,2026-01-16,2026-01-16,5,6,0.67,6,baseline,2
1,xgboost-2,1,0.45,1.0,1,0,1,0.0,1.0,1225,2021-03-01,2026-01-13,2026-01-16,2026-01-16,5,8,0.67,8,baseline,2
1,xgboost-2,1,0.05,1.0,1,0,1,0.0,1.0,1225,2021-03-01,2026-01-13,2026-01-16,2026-01-16,5,12,0.67,12,baseline,2
1,xgboost-2,1,0.3,1.0,1,0,1,0.0,1.0,1225,2021-03-01,2026-01-13,2026-01-16,2026-01-16,5,6,1.0,6,baseline,2
1,xgboost-2,1,0.15,1.0,1,0,1,0.0,1.0,1225,2021-03-01,2026-01-13,2026-01-16,2026-01-16,5,8,1.0,8,baseline,2
1,xgboost-2,1,0.05,1.0,1,0,1,0.0,1.0,1225,2021-03-01,2026-01-13,2026-01-16,2026-01-16,5,12,1.0,12,baseline,2
2,xgboost-2,1,0.85,0.0,1,0,1,0.0,1.0,1225,2021-02-26,2026-01-12,2026-01-15,2026-01-15,5,6,0.33,6,baseline,2
2,xgboost-2,1,0.9,0.0,1,0,1,0.0,1.0,1225,2021-02-26,2026-01-12,2026-01-15,2026-01-15,5,8,0.33,8,baseline,2
2,xgboost-2,1,1.0,0.0,1,0,1,0.0,1.0,1225,2021-02-26,2026-01-12,2026-01-15,2026-01-15,5,12,0.33,12,baseline,2
2,xgboost-2,1,0.95,0.0,1,0,1,0.0,1.0,1225,2021-02-26,2026-01-12,2026-01-15,2026-01-15,5,6,0.67,6,baseline,2
2,xgboost-2,1,1.0,0.0,1,0,1,0.0,1.0,1225,2021-02-26,2026-01-12,2026-01-15,2026-01-15,5,8,0.67,8,baseline,2
2,xgboost-2,1,0.75,0.0,1,0,1,0.0,1.0,1225,2021-02-26,2026-01-12,2026-01-15,2026-01-15,5,12,0.67,12,baseline,2
2,xgboost-2,1,0.85,0.0,1,0,1,0.0,1.0,1225,2021-02-26,2026-01-12,2026-01-15,2026-01-15,5,6,1.0,6,baseline,2
2,xgboost-2,1,0.95,0.0,1,0,1,0.0,1.0,1225,2021-02-26,2026-01-12,2026-01-15,2026-01-15,5,8,1.0,8,baseline,2
2,xgboost-2,1,0.75,0.0,1,0,1,0.0,1.0,1225,2021-02-26,2026-01-12,2026-01-15,2026-01-15,5,12,1.0,12,baseline,2
3,xgboost-2,1,0.65,1.0,1,1,0,1.0,0.0,1225,2021-02-25,2026-01-09,2026-01-14,2026-01-14,5,6,0.33,6,baseline,2
3,xgboost-2,1,0.25,0.0,1,1,0,1.0,0.0,1225,2021-02-25,2026-01-09,2026-01-14,2026-01-14,5,8,0.33,8,baseline,2
3,xgboost-2,1,0.65,1.0,1,1,0,1.0,0.0,1225,2021-02-25,2026-01-09,2026-01-14,2026-01-14,5,12,0.33,12,baseline,2
3,xgboost-2,1,0.15,0.0,1,1,0,1.0,0.0,1225,2021-02-25,2026-01-09,2026-01-14,2026-01-14,5,6,0.67,6,baseline,2
3,xgboost-2,1,0.05,0.0,1,1,0,1.0,0.0,1225,2021-02-25,2026-01-09,2026-01-14,2026-01-14,5,8,0.67,8,baseline,2
