model,test_days,pred,acc,test_n,test_pos_n,train_n,test_start,test_end,train_years,feature_set,horizon
xgboost-6,1,0.25,1.0,1,0,980,2026-01-16,2026-01-16,4,initial,2
xgboost-6,1,0.05,1.0,1,0,980,2026-01-15,2026-01-15,4,initial,2
xgboost-6,1,0.9,1.0,1,1,980,2026-01-14,2026-01-14,4,initial,2
xgboost-6,1,0.7,0.0,1,0,980,2026-01-13,2026-01-13,4,initial,2
xgboost-6,1,0.35,1.0,1,0,980,2026-01-12,2026-01-12,4,initial,2
xgboost-6,1,0.0,1.0,1,0,980,2026-01-09,2026-01-09,4,initial,2
xgboost-6,1,1.0,1.0,1,1,980,2026-01-08,2026-01-08,4,initial,2
xgboost-6,1,0.95,1.0,1,1,980,2026-01-07,2026-01-07,4,initial,2
xgboost-6,1,0.05,1.0,1,0,980,2026-01-06,2026-01-06,4,initial,2
xgboost-6,1,0.0,0.0,1,1,980,2026-01-05,2026-01-05,4,initial,2
xgboost-6,1,0.2,0.0,1,1,980,2026-01-02,2026-01-02,4,initial,2
xgboost-6,1,0.3,0.0,1,1,980,2025-12-31,2025-12-31,4,initial,2
xgboost-6,1,0.95,0.0,1,0,980,2025-12-30,2025-12-30,4,initial,2
xgboost-6,1,0.95,0.0,1,0,980,2025-12-29,2025-12-29,4,initial,2
xgboost-6,1,0.8,0.0,1,0,980,2025-12-26,2025-12-26,4,initial,2
xgboost-6,1,0.1,1.0,1,0,980,2025-12-24,2025-12-24,4,initial,2
xgboost-6,1,0.5,0.0,1,1,980,2025-12-23,2025-12-23,4,initial,2
xgboost-6,1,0.0,0.0,1,1,980,2025-12-22,2025-12-22,4,initial,2
xgboost-6,1,0.0,0.0,1,1,980,2025-12-19,2025-12-19,4,initial,2
xgboost-6,1,0.0,0.0,1,1,980,2025-12-18,2025-12-18,4,initial,2
xgboost-6,1,0.45,0.0,1,1,980,2025-12-17,2025-12-17,4,initial,2
xgboost-6,1,0.1,1.0,1,0,980,2025-12-16,2025-12-16,4,initial,2
xgboost-6,1,0.3,1.0,1,0,980,2025-12-15,2025-12-15,4,initial,2
xgboost-6,1,0.7,0.0,1,0,980,2025-12-12,2025-12-12,4,initial,2
xgboost-6,1,0.15,1.0,1,0,980,2025-12-11,2025-12-11,4,initial,2
xgboost-6,1,0.1,1.0,1,0,980,2025-12-10,2025-12-10,4,initial,2
xgboost-6,1,0.6,1.0,1,1,980,2025-12-09,2025-12-09,4,initial,2
xgboost-6,1,0.6,1.0,1,1,980,2025-12-08,2025-12-08,4,initial,2
xgboost-6,1,0.1,1.0,1,0,980,2025-12-05,2025-12-05,4,initial,2
xgboost-6,1,0.7,1.0,1,1,980,2025-12-04,2025-12-04,4,initial,2
xgboost-6,1,0.85,1.0,1,1,980,2025-12-03,2025-12-03,4,initial,2
xgboost-6,1,0.85,1.0,1,1,980,2025-12-02,2025-12-02,4,initial,2
xgboost-6,1,0.85,1.0,1,1,980,2025-12-01,2025-12-01,4,initial,2
xgboost-6,1,0.95,1.0,1,1,980,2025-11-28,2025-11-28,4,initial,2
xgboost-6,1,0.85,1.0,1,1,980,2025-11-26,2025-11-26,4,initial,2
xgboost-6,1,0.95,1.0,1,1,980,2025-11-25,2025-11-25,4,initial,2
xgboost-6,1,0.7,1.0,1,1,980,2025-11-24,2025-11-24,4,initial,2
xgboost-6,1,0.45,0.0,1,1,980,2025-11-21,2025-11-21,4,initial,2
xgboost-6,1,0.2,0.0,1,1,980,2025-11-20,2025-11-20,4,initial,2
xgboost-6,1,0.1,1.0,1,0,980,2025-11-19,2025-11-19,4,initial,2
xgboost-6,1,0.25,1.0,1,0,980,2025-11-18,2025-11-18,4,initial,2
xgboost-6,1,1.0,0.0,1,0,980,2025-11-17,2025-11-17,4,initial,2
xgboost-6,1,0.15,1.0,1,0,980,2025-11-14,2025-11-14,4,initial,2
xgboost-6,1,0.4,1.0,1,0,980,2025-11-13,2025-11-13,4,initial,2
