model,pred,test_days,acc,test_n,test_pos_n,train_n,test_start,test_end,train_years,feature_set,horizon
xgboost,0.8,1,0.0,1,0,980,2026-01-16,2026-01-16,4,ma,2
random_forest,0.55,1,0.0,1,0,980,2026-01-16,2026-01-16,4,ma,2
xgboost,0.95,1,0.0,1,0,980,2026-01-15,2026-01-15,4,ma,2
random_forest,0.5,1,1.0,1,0,980,2026-01-15,2026-01-15,4,ma,2
xgboost,1.0,1,1.0,1,1,980,2026-01-14,2026-01-14,4,ma,2
random_forest,0.7,1,1.0,1,1,980,2026-01-14,2026-01-14,4,ma,2
xgboost,1.0,1,0.0,1,0,980,2026-01-13,2026-01-13,4,ma,2
random_forest,0.6,1,0.0,1,0,980,2026-01-13,2026-01-13,4,ma,2
xgboost,0.95,1,0.0,1,0,980,2026-01-12,2026-01-12,4,ma,2
random_forest,0.6,1,0.0,1,0,980,2026-01-12,2026-01-12,4,ma,2
xgboost,0.0,1,1.0,1,0,980,2026-01-09,2026-01-09,4,ma,2
random_forest,0.4,1,1.0,1,0,980,2026-01-09,2026-01-09,4,ma,2
xgboost,0.5,1,1.0,1,1,980,2026-01-08,2026-01-08,4,ma,2
random_forest,0.65,1,1.0,1,1,980,2026-01-08,2026-01-08,4,ma,2
xgboost,0.85,1,1.0,1,1,980,2026-01-07,2026-01-07,4,ma,2
random_forest,0.45,1,0.0,1,1,980,2026-01-07,2026-01-07,4,ma,2
xgboost,0.35,1,1.0,1,0,980,2026-01-06,2026-01-06,4,ma,2
random_forest,0.5,1,0.0,1,0,980,2026-01-06,2026-01-06,4,ma,2
xgboost,0.05,1,0.0,1,1,980,2026-01-05,2026-01-05,4,ma,2
random_forest,0.35,1,0.0,1,1,980,2026-01-05,2026-01-05,4,ma,2
xgboost,0.1,1,0.0,1,1,980,2026-01-02,2026-01-02,4,ma,2
random_forest,0.4,1,0.0,1,1,980,2026-01-02,2026-01-02,4,ma,2
xgboost,0.8,1,1.0,1,1,980,2025-12-31,2025-12-31,4,ma,2
random_forest,0.6,1,1.0,1,1,980,2025-12-31,2025-12-31,4,ma,2
xgboost,0.9,1,0.0,1,0,980,2025-12-30,2025-12-30,4,ma,2
random_forest,0.65,1,0.0,1,0,980,2025-12-30,2025-12-30,4,ma,2
xgboost,0.95,1,0.0,1,0,980,2025-12-29,2025-12-29,4,ma,2
random_forest,0.9,1,0.0,1,0,980,2025-12-29,2025-12-29,4,ma,2
